student_id,avg_attendance,avg_assignments,avg_quizzes,avg_labs,avg_midterm,avg_final,avg_overall,semester,credits_registered,credits_passed,failed_courses,attendance_risk_score,course_difficulty_index,failed_course_ratio,performance_trend,credit_completion_ratio,academic_consistency,study_efficiency,semester_momentum,programme_encoded,school_encoded,target_gpa,target_risk
STU00017,91.1,61.0,66.0,69.5,73.7,72.4,70.0,3,33,33,0,0.0,0.73,0.0,-1.2999999999999972,1.0,0.8286102557197647,1.1818181818181817,7.810000000000002,0.73,2,1.6,2
STU00018,77.4,86.6,48.6,79.1,58.7,58.2,64.8,6,90,72,6,0.0,0.55,0.2,-0.5,0.8,0.46965105826446696,2.0380645161290323,-1.8599999999999994,0.55,1,1.03,2
STU00019,88.4,96.8,88.6,90.9,86.9,86.4,89.0,2,21,21,0,0.0,0.71,0.0,-0.5,1.0,0.8590232485675584,1.637264150943396,0.0,0.71,3,3.443,0
STU00020,96.0,94.4,90.5,91.7,93.3,89.9,91.9,2,30,30,0,0.0,0.8,0.0,-3.3999999999999915,1.0,0.9372128817174874,2.524014084507042,0.0,0.8,2,3.71,0
STU00021,65.8,70.4,70.4,82.7,90.7,88.8,83.8,2,30,30,0,0.04296252975515949,0.82,0.0,-1.9000000000000057,1.0,0.6743638704183935,3.0261111111111108,0.0,0.82,3,2.85,1
STU00022,66.6,78.1,62.1,80.9,79.2,79.8,77.8,5,63,63,0,0.03748236918872662,0.62,0.0,0.5999999999999943,1.0,0.7384299541444226,5.0,2.209090909090918,0.62,1,2.286,1
STU00023,73.2,95.9,62.5,97.1,88.4,84.3,87.0,2,27,27,0,0.0037180640123591117,0.22,0.0,-4.1000000000000085,1.0,0.5340863217767098,1.8642857142857143,0.0,0.22,0,3.222,0
STU00024,94.6,66.6,82.0,73.7,84.7,88.4,81.2,3,33,33,0,0.0,0.18,0.0,3.700000000000003,1.0,0.7057646444690161,3.198787878787879,-2.8700000000000045,0.18,0,2.573,0
STU00025,70.8,60.0,41.9,63.2,59.2,57.4,57.6,2,30,6,8,0.013252018714143153,0.8,0.8,-1.8000000000000043,0.2,0.7219752209284616,1.2142702702702701,0.0,0.8,3,0.2,2
STU00026,60.2,60.0,50.9,67.6,81.9,80.6,73.0,6,90,90,0,0.08765984088340396,0.55,0.0,-1.3000000000000114,1.0,0.5564223730719604,4.186764705882353,-2.730000000000004,0.55,1,1.74,2
STU00027,84.5,79.2,82.6,82.3,83.8,88.5,84.2,4,48,48,0,0.0,0.4,0.0,4.700000000000003,1.0,0.8874685229221027,1.8764571428571428,-4.840000000000003,0.4,1,2.925,0
STU00028,75.0,82.5,72.9,95.3,88.4,88.8,87.1,4,60,60,0,0.0,0.55,0.0,0.3999999999999915,1.0,0.7195895864986467,1.7878421052631577,-2.3000000000000114,0.55,1,3.2,0
STU00029,81.6,71.1,55.2,63.9,67.5,64.8,65.4,4,60,51,3,0.0,0.55,0.15,-2.700000000000003,0.85,0.8031498031497049,0.7164606741573033,3.069999999999986,0.55,1,1.045,2
STU00030,90.6,87.2,61.8,75.6,51.8,56.8,63.2,1,15,9,2,0.0,0.75,0.4,5.0,0.6,0.5159568430627515,0.8995620437956205,0.0,0.75,2,0.66,2
STU00031,81.6,94.9,59.8,87.4,71.0,65.7,74.4,1,15,15,0,0.0,0.82,0.0,-5.299999999999997,1.0,0.5054710434272944,1.1940740740740745,0.0,0.82,3,1.92,2
STU00032,76.1,52.8,64.7,67.5,75.5,70.5,68.3,2,27,24,1,0.0,0.22,0.1111111111111111,-5.0,0.8888888888888888,0.7169216833925047,2.1481451612903224,0.0,0.22,0,1.256,2
STU00033,76.4,49.1,37.6,54.9,52.9,48.9,49.9,5,63,0,21,0.0,0.62,1.0,-4.0,0.0,0.7767114472755539,1.7071052631578947,-1.8345454545454558,0.62,1,0.0,2
STU00034,82.9,59.8,62.4,68.2,71.8,71.0,68.3,5,63,63,0,0.0,0.62,0.0,-0.7999999999999972,1.0,0.8229626530298699,1.5308620689655172,-3.0627272727272725,0.62,1,1.333,2
STU00035,71.0,67.8,56.6,79.1,73.0,67.1,69.7,4,48,48,0,0.012316805742712017,0.4,0.0,-5.900000000000006,1.0,0.7228979329641233,4.6466666666666665,-2.6266666666666794,0.4,1,1.5,2
STU00036,93.0,95.4,90.9,97.3,86.2,85.2,89.4,8,117,117,0,0.0,0.55,0.0,-1.0,1.0,0.820695789229589,1.3946399999999999,-2.730714285714285,0.55,1,3.418,0
STU00037,95.2,82.9,96.0,94.1,90.2,83.9,88.4,1,15,15,0,0.0,0.55,0.0,-6.299999999999997,1.0,0.8036528018477926,1.276888888888889,0.0,0.55,1,3.34,0
STU00038,58.8,54.0,51.0,68.3,91.1,84.5,76.2,4,48,48,0,0.10038772833369626,0.4,0.0,-6.599999999999994,1.0,0.4048557597803145,1.1474131274131274,-2.933333333333337,0.4,1,2.144,1
STU00039,59.8,55.4,46.2,64.7,69.8,72.0,65.2,5,63,51,4,0.09123752314497384,0.62,0.19047619047619047,2.200000000000003,0.8095238095238095,0.6423036669650265,2.211130434782609,-0.4936363636363552,0.62,1,0.99,2
STU00040,74.6,96.2,43.1,85.4,57.2,49.2,63.5,2,24,21,1,0.00038949159644812646,0.75,0.125,-8.0,0.875,0.22321031017255244,1.5009090909090907,0.0,0.75,2,0.95,2
STU00041,98.6,96.9,93.6,97.2,94.6,93.2,94.8,3,45,45,0,0.0,0.4,0.0,-1.3999999999999915,1.0,0.9381758766966952,1.7689952153110047,-2.9599999999999937,0.4,1,3.94,0
STU00042,83.1,73.0,67.1,78.4,81.1,82.1,78.4,2,21,21,0,0.0,0.71,0.0,1.0,1.0,0.7914254729519126,1.99843137254902,0.0,0.71,3,2.271,1
STU00043,87.1,69.8,78.8,78.9,90.9,91.3,84.9,3,33,33,0,0.0,0.82,0.0,0.3999999999999915,1.0,0.6952359747097583,1.5119178082191782,-2.8200000000000074,0.82,3,3.009,0
STU00044,75.4,48.3,42.6,46.2,44.5,39.4,43.6,5,63,0,21,0.0,0.62,1.0,-5.100000000000001,0.0,0.8863484858584512,0.8949473684210525,-2.56545454545455,0.62,1,0.0,2
STU00045,87.4,66.1,66.6,75.8,75.4,74.0,72.7,2,21,21,0,0.0,0.71,0.0,-1.4000000000000057,1.0,0.8391964621726941,1.0235740072202166,0.0,0.71,3,1.829,2
STU00046,88.5,67.8,54.1,65.8,57.1,54.0,58.8,2,30,12,6,0.0,0.8,0.6,-3.1000000000000014,0.4,0.7805233497613016,0.988448275862069,0.0,0.8,3,0.4,2
STU00047,90.2,90.8,90.0,94.8,91.5,91.9,91.9,4,60,60,0,0.0,0.62,0.0,0.4000000000000057,1.0,0.9391267254408344,1.6826760563380283,-3.0799999999999983,0.62,1,3.655,0
STU00048,65.3,80.9,40.9,74.6,66.7,62.9,66.3,3,45,42,1,0.046512074099496356,0.62,0.06666666666666667,-3.8000000000000043,0.9333333333333333,0.4909485946062683,1.0773749999999997,-1.5800000000000125,0.62,1,1.153,2
STU00049,81.6,57.4,56.7,65.4,68.0,65.7,64.2,2,24,21,1,0.0,0.75,0.125,-2.299999999999997,0.875,0.8264328500102753,1.605,0.0,0.75,2,1.037,2
STU00050,67.5,73.6,59.1,82.9,73.3,75.4,74.0,8,117,117,0,0.0316227766016838,0.55,0.0,2.1000000000000085,1.0,0.7126113742295596,1.7178571428571427,-3.1850000000000023,0.55,1,1.915,2
STU00051,79.1,77.5,32.4,63.9,39.9,42.7,49.2,5,75,3,24,0.0,0.55,0.96,2.8000000000000043,0.04,0.37498266690701554,1.0542857142857143,-4.453333333333326,0.55,1,0.04,2
STU00052,72.2,66.6,38.6,60.6,50.6,47.8,52.5,4,60,0,20,0.007213485313658731,0.55,1.0,-2.8000000000000043,0.0,0.6338063657328574,0.9222972972972974,0.9899999999999949,0.55,1,0.0,2
STU00053,66.9,54.1,48.6,62.7,62.2,55.1,57.6,2,30,9,7,0.03549242172633473,0.8,0.7,-7.100000000000001,0.3,0.8020578086634607,1.1288442211055278,0.0,0.8,3,0.3,2
STU00054,87.3,77.5,57.1,71.1,68.6,69.3,69.4,2,24,24,0,0.0,0.75,0.0,0.7000000000000028,1.0,0.7538473824816988,1.1616309012875539,0.0,0.75,2,1.412,2
STU00055,75.0,72.4,66.4,81.4,84.4,77.4,78.3,1,15,15,0,0.0,0.82,0.0,-7.0,1.0,0.7607883317598779,4.126621621621621,0.0,0.82,3,2.32,1
STU00056,68.4,73.6,43.5,68.4,62.8,62.1,63.1,2,30,27,1,0.0261050186745767,0.8,0.1,-0.6999999999999957,0.9,0.6205310728575175,1.4062285714285712,0.0,0.8,3,0.93,2
STU00057,89.4,77.1,79.5,85.1,81.9,81.6,81.3,4,48,48,0,0.0,0.4,0.0,-0.30000000000001137,1.0,0.9007920254101405,1.6428497409326424,-5.146666666666661,0.4,1,2.65,0
STU00058,94.8,91.5,93.1,90.2,89.3,86.6,89.3,3,33,33,0,0.0,0.73,0.0,-2.700000000000003,1.0,0.9186024843403955,1.8927717391304348,-3.4599999999999937,0.73,2,3.482,0
STU00059,92.6,85.4,88.2,97.6,93.2,87.0,90.3,3,45,45,0,0.0,0.55,0.0,-6.200000000000003,1.0,0.8324954395314034,1.669052132701422,-0.2400000000000091,0.55,1,3.493,0
STU00060,64.7,97.7,62.0,95.3,93.0,93.3,91.0,3,45,45,0,0.05089369021503257,0.55,0.0,0.29999999999999716,1.0,0.5066745496125301,1.2585106382978724,-1.0600000000000023,0.55,1,3.607,1
STU00061,63.5,78.0,55.8,78.6,76.2,71.5,73.4,1,15,15,0,0.06004196063618373,0.75,0.0,-4.700000000000003,1.0,0.6838214287955477,1.6838823529411766,0.0,0.75,2,1.86,2
STU00062,68.2,48.6,50.8,63.3,70.7,70.0,64.1,4,48,36,4,0.027300554871582654,0.4,0.25,-0.7000000000000028,0.75,0.6513247292329947,1.8796240601503755,1.5,0.4,1,0.919,2
STU00063,59.2,54.3,56.8,78.6,90.7,93.1,80.8,3,33,33,0,0.09669271066784865,0.73,0.0,2.3999999999999915,1.0,0.3884582325520739,2.3516417910447758,0.7000000000000028,0.73,2,2.627,1
STU00064,71.8,78.3,47.6,79.6,60.7,52.0,62.3,2,30,21,3,0.008813188770036446,0.82,0.3,-8.700000000000003,0.7,0.5081068318334876,0.9309195402298851,0.0,0.82,3,0.77,2
STU00065,82.2,71.3,58.0,68.5,68.7,58.6,65.0,1,15,12,1,0.0,0.8,0.2,-10.100000000000001,0.8,0.7921084684531645,1.8639705882352944,0.0,0.8,2,1.0,2
STU00066,92.0,88.9,87.9,89.9,92.7,88.7,90.0,2,30,30,0,0.0,0.73,0.0,-4.0,1.0,0.9378889882727888,1.7638190954773871,0.0,0.73,2,3.49,0
STU00067,68.4,71.4,61.9,82.6,83.7,74.9,76.9,3,33,33,0,0.0261050186745767,0.73,0.0,-8.799999999999997,1.0,0.7028001046807422,1.7746153846153845,-5.1299999999999955,0.73,2,2.191,1
STU00068,74.1,54.0,63.1,60.1,70.1,70.3,65.6,4,60,51,3,0.0013145341380124112,0.62,0.15,0.20000000000000284,0.85,0.7691994608132622,1.4292737430167595,0.5499999999999972,0.62,1,1.045,2
STU00069,71.5,83.5,56.7,81.1,65.4,64.7,69.4,7,105,105,0,0.01008115219752334,0.55,0.0,-0.7000000000000028,1.0,0.615867499711652,1.132468619246862,-1.6580000000000013,0.55,1,1.474,2
STU00070,67.6,86.0,57.7,79.4,71.0,69.3,72.7,4,48,48,0,0.03099243396319439,0.4,0.0,-1.7000000000000028,1.0,0.6420630098901638,2.215078125,0.03333333333333144,0.4,1,1.7,2
STU00071,88.8,72.8,70.7,81.3,79.1,75.6,76.6,7,105,105,0,0.0,0.55,0.0,-3.5,1.0,0.8545696042775102,1.8671249999999993,-0.9439999999999884,0.55,1,2.143,1
STU00072,83.0,71.5,75.0,80.4,71.4,78.0,75.1,4,48,48,0,0.0,0.4,0.0,6.599999999999994,1.0,0.8676788418699077,1.1857894736842105,-1.4799999999999898,0.4,1,2.044,1
STU00073,71.9,64.1,58.5,66.0,87.7,85.1,77.2,2,21,21,0,0.008403315042511694,0.71,0.0,-2.6000000000000085,1.0,0.5595557797959984,1.4831527093596062,0.0,0.71,3,2.186,1
STU00074,77.3,63.8,77.5,78.5,91.1,90.9,83.7,5,63,63,0,0.0,0.62,0.0,-0.19999999999998863,1.0,0.6227614960149364,1.8547159090909096,-1.9172727272727315,0.62,1,2.852,0
STU00075,95.8,82.9,78.6,81.2,73.4,77.2,77.7,6,90,90,0,0.0,0.55,0.0,3.799999999999997,1.0,0.8772627014944339,1.471019417475728,-3.710000000000008,0.55,1,2.287,1
STU00076,76.2,58.3,71.8,73.6,90.4,89.8,81.0,4,60,60,0,0.0,0.62,0.0,-0.6000000000000085,1.0,0.5492450776752404,3.806024096385542,-2.4399999999999977,0.62,1,2.585,0
STU00077,93.0,80.8,89.1,74.3,82.4,79.1,80.6,1,15,15,0,0.0,0.62,0.0,-3.3000000000000114,1.0,0.8204852219020519,1.223112840466926,0.0,0.62,1,2.62,0
STU00078,80.1,66.2,80.7,73.9,92.0,92.1,84.3,2,24,24,0,0.0,0.75,0.0,0.09999999999999432,1.0,0.6222331700932734,2.5486046511627904,0.0,0.75,2,2.925,0
STU00079,72.2,44.5,55.4,64.5,73.6,66.1,63.8,3,33,18,5,0.007213485313658731,0.73,0.45454545454545453,-7.5,0.5454545454545454,0.6271476312414137,1.289222797927461,13.27000000000001,0.73,2,0.691,2
STU00080,75.3,78.3,65.6,78.0,84.5,84.3,80.7,2,30,30,0,0.0,0.8,0.0,-0.20000000000000284,1.0,0.7441289387210815,1.2151737451737452,0.0,0.8,3,2.57,0
STU00081,92.5,84.0,85.4,85.3,86.6,86.0,85.7,2,24,24,0,0.0,0.75,0.0,-0.5999999999999943,1.0,0.9677165332991914,1.6546039603960394,0.0,0.75,2,3.038,0
STU00082,86.2,78.1,73.9,79.0,87.1,89.7,84.0,1,15,15,0,0.0,0.4,0.0,2.6000000000000085,1.0,0.7800555625719179,1.8404494382022474,0.0,0.4,1,2.94,0
STU00083,89.3,61.0,71.4,67.3,73.7,73.2,70.5,2,30,30,0,0.0,0.8,0.0,-0.5,1.0,0.8237205501357447,1.6269230769230767,0.0,0.8,3,1.57,2
STU00084,95.9,83.4,93.3,88.3,87.9,88.7,88.1,6,90,90,0,0.0,0.55,0.0,0.7999999999999972,1.0,0.8829435084148589,2.4027272727272724,-0.2600000000000051,0.55,1,3.283,0
STU00085,75.4,78.0,57.6,80.1,62.3,60.5,66.3,1,15,12,1,0.0,0.55,0.2,-1.7999999999999972,0.8,0.6492626813886686,1.353769633507853,0.0,0.55,1,1.06,2
STU00086,87.7,74.2,83.6,90.7,90.8,88.5,86.9,5,75,75,0,0.0,0.55,0.0,-2.299999999999997,1.0,0.7670169295611565,3.9871764705882358,0.006666666666660603,0.55,1,3.192,0
STU00087,95.1,67.7,67.2,66.0,62.2,65.8,65.2,3,33,27,2,0.0,0.82,0.18181818181818182,3.5999999999999943,0.8181818181818182,0.9281823296271887,1.2166507177033494,-2.529999999999994,0.82,3,1.055,2
STU00088,61.2,50.2,40.9,52.2,60.4,56.8,54.6,4,48,6,14,0.07892720696946014,0.4,0.875,-3.6000000000000014,0.125,0.7527709114561513,3.6399999999999997,-5.079999999999998,0.4,1,0.125,2
STU00089,96.1,96.9,93.2,95.7,92.7,93.6,94.1,5,75,75,0,0.0,0.55,0.0,0.8999999999999915,1.0,0.9401204913550925,1.3345090909090906,-1.11666666666666,0.55,1,3.856,0
STU00090,76.8,66.3,54.1,67.0,65.8,65.1,64.7,3,33,27,2,0.0,0.73,0.18181818181818182,-0.7000000000000028,0.8181818181818182,0.8203614740652775,1.4756140350877194,-1.4299999999999997,0.73,2,1.027,2
STU00091,72.2,54.6,64.7,62.5,74.4,70.6,67.5,5,75,66,3,0.007213485313658731,0.55,0.12,-3.8000000000000114,0.88,0.7452822913280054,1.8409090909090908,-2.5633333333333326,0.55,1,1.236,2
STU00092,78.8,92.8,68.9,90.4,95.7,90.4,90.2,2,24,24,0,0.0,0.75,0.0,-5.299999999999997,1.0,0.6433130846869268,2.3609395973154363,0.0,0.75,2,3.562,0
STU00093,71.2,49.9,47.2,66.6,61.4,59.0,58.3,4,48,21,9,0.011404690393121713,0.4,0.5625,-2.3999999999999986,0.4375,0.7303252988423934,1.0334999999999999,-3.3500000000000014,0.4,1,0.438,2
STU00094,87.5,71.8,81.9,86.8,94.2,91.9,87.8,5,63,63,0,0.0,0.62,0.0,-2.299999999999997,1.0,0.7024040770888597,1.2729368029739778,0.1918181818181921,0.62,1,3.238,0
STU00095,84.3,85.7,61.4,85.0,70.7,72.3,74.6,5,63,63,0,0.0,0.62,0.0,1.5999999999999943,1.0,0.6563157133517901,1.4192195121951219,1.6181818181818244,0.62,1,1.976,2
STU00096,92.8,72.7,59.9,69.9,55.0,54.9,60.4,2,30,15,5,0.0,0.8,0.5,-0.10000000000000142,0.5,0.7213285486854137,1.6588732394366195,0.0,0.8,2,0.5,2
STU00097,73.6,91.5,56.6,84.8,79.0,77.8,79.1,5,63,63,0,0.0025503521906388485,0.62,0.0,-1.2000000000000028,1.0,0.5630052123372129,2.830183486238532,-6.407272727272726,0.62,1,2.395,1
STU00098,87.1,86.8,84.3,93.3,93.0,93.1,91.3,8,117,117,0,0.0,0.55,0.0,0.09999999999999432,1.0,0.8584019774149371,1.695571428571428,-0.07500000000000284,0.55,1,3.6,0
STU00099,60.0,83.9,58.1,93.1,91.4,87.5,86.0,2,30,30,0,0.0894427190999916,0.55,0.0,-3.9000000000000057,1.0,0.5246521741339764,1.8633333333333333,0.0,0.55,1,3.07,1
STU00100,90.8,73.4,91.1,84.6,94.8,92.9,89.1,2,27,27,0,0.0,0.22,0.0,-1.8999999999999915,1.0,0.7101092159680362,1.9304999999999997,0.0,0.22,0,3.422,0
STU00101,87.5,87.2,78.7,90.7,86.0,85.4,86.0,3,33,33,0,0.0,0.18,0.0,-0.5999999999999943,1.0,0.854340579890394,1.088961038961039,1.8100000000000023,0.18,0,3.118,0
STU00102,73.7,59.4,54.1,84.2,75.8,72.4,71.4,2,24,24,0,0.002282039373828521,0.75,0.0,-3.3999999999999915,1.0,0.5907839473117191,2.0780597014925375,0.0,0.75,2,1.625,2
STU00103,88.8,93.5,81.2,89.4,82.4,82.7,85.1,5,63,63,0,0.0,0.62,0.0,0.29999999999999716,1.0,0.8216028151691974,1.8136065573770492,-3.559090909090912,0.62,1,3.005,0
STU00104,67.4,85.7,45.7,77.1,48.6,50.8,58.8,2,27,9,6,0.03225733565723774,0.22,0.6666666666666666,2.1999999999999957,0.3333333333333333,0.38547488976355804,0.9476033057851239,0.0,0.22,0,0.367,2
STU00105,70.5,42.8,61.3,74.7,85.1,88.3,75.8,1,15,15,0,0.014696938456699067,0.8,0.0,3.200000000000003,1.0,0.37649022105147034,1.2017073170731707,0.0,0.8,3,2.06,1
STU00106,95.5,75.0,83.5,80.2,80.5,81.3,80.2,3,33,33,0,0.0,0.82,0.0,0.7999999999999972,1.0,0.8956767843031412,2.8434545454545455,-10.099999999999994,0.82,3,2.555,0
STU00107,75.6,75.3,66.2,77.4,77.1,80.0,76.6,4,48,48,0,0.0,0.4,0.0,2.9000000000000057,1.0,0.8232233047033631,1.6596666666666664,-2.700000000000003,0.4,1,2.194,1
STU00108,88.5,77.6,84.0,92.7,93.1,92.8,89.7,4,60,60,0,0.0,0.62,0.0,-0.29999999999999716,1.0,0.7670884765028192,1.831570680628272,0.480000000000004,0.62,1,3.47,0
STU00109,92.0,84.8,80.1,92.0,91.6,88.8,88.7,7,105,105,0,0.0,0.55,0.0,-2.799999999999997,1.0,0.8326746349838801,2.723858267716535,-3.367999999999995,0.55,1,3.34,0
STU00110,54.9,54.3,48.8,60.7,69.9,71.2,64.5,3,33,30,1,0.1387401600114401,0.18,0.09090909090909091,1.2999999999999972,0.9090909090909091,0.6763626858486321,2.37311320754717,-1.6200000000000045,0.18,0,1.0,2
STU00111,80.6,96.3,79.7,94.5,91.3,91.7,91.5,4,48,48,0,0.0,0.4,0.0,0.4000000000000057,1.0,0.7838724656340357,1.4745867768595042,-1.9366666666666532,0.4,1,3.587,0
STU00112,81.4,73.0,79.7,85.5,88.7,87.2,84.5,8,117,117,0,0.0,0.55,0.0,-1.5,1.0,0.7845495674432541,1.253041825095057,-4.266428571428563,0.55,1,2.938,0
STU00113,83.1,68.5,77.8,79.8,90.5,88.8,83.8,4,60,60,0,0.0,0.62,0.0,-1.7000000000000028,1.0,0.7023294139862358,1.130865051903114,-1.2900000000000063,0.62,1,2.89,0
STU00114,71.2,64.9,60.1,69.8,80.2,76.1,73.1,3,33,33,0,0.011404690393121713,0.73,0.0,-4.1000000000000085,1.0,0.7286515155745292,1.418358208955224,-5.189999999999998,0.73,2,1.782,2
STU00115,62.5,71.5,42.0,69.6,50.8,51.5,56.1,1,15,3,4,0.06804138174397717,0.55,0.8,0.7000000000000028,0.2,0.5709610222317273,1.342269938650307,0.0,0.55,1,0.2,2
STU00116,74.5,83.8,70.3,80.6,86.5,83.7,82.7,2,21,21,0,0.0005443310539518174,0.71,0.0,-2.799999999999997,1.0,0.7891630435093927,1.8222033898305083,0.0,0.71,3,2.771,0
STU00117,58.1,80.9,41.3,78.6,71.4,68.5,70.0,3,33,33,0,0.10696412967456442,0.82,0.0,-2.9000000000000057,1.0,0.4720658711122717,1.6347305389221554,-3.210000000000008,0.82,3,1.5,2
STU00118,92.5,96.0,71.9,98.5,87.2,81.1,86.9,1,15,15,0,0.0,0.82,0.0,-6.1000000000000085,1.0,0.6363411244342059,1.1075490196078432,0.0,0.82,3,3.12,0
STU00119,72.7,57.3,51.2,60.3,71.6,65.2,63.8,4,48,42,2,0.005370316219394924,0.4,0.125,-6.3999999999999915,0.875,0.7417215111981299,1.9288372093023254,-2.626666666666665,0.4,1,0.956,2
STU00120,90.4,90.3,87.7,91.9,93.6,93.5,92.2,2,30,30,0,0.0,0.8,0.0,-0.09999999999999432,1.0,0.9176727397651436,2.413288590604027,0.0,0.8,2,3.73,0
STU00121,85.1,78.0,76.3,91.0,93.5,92.1,88.7,2,30,30,0,0.0,0.8,0.0,-1.4000000000000057,1.0,0.7229179824592645,1.671159420289855,0.0,0.8,2,3.39,0
STU00122,73.8,68.3,70.9,85.0,84.9,76.2,78.4,2,30,30,0,0.0020238577025077703,0.8,0.0,-8.700000000000003,1.0,0.7418376910202076,2.298947368421053,0.0,0.8,2,2.33,1
STU00123,78.3,79.0,70.6,92.6,79.1,77.9,79.9,5,75,75,0,0.0,0.55,0.0,-1.1999999999999886,1.0,0.7347893918662629,1.598,-2.346666666666664,0.55,1,2.456,1
STU00124,64.3,63.6,54.8,75.0,82.2,78.9,74.6,4,48,48,0,0.053886970870792424,0.4,0.0,-3.299999999999997,1.0,0.6195762596495556,2.8523529411764703,-3.239999999999995,0.4,1,1.975,2
STU00125,75.3,90.0,72.5,85.9,88.2,85.9,85.9,5,75,75,0,0.0,0.55,0.0,-2.299999999999997,1.0,0.7691441045924007,1.700558375634518,-0.5066666666666606,0.55,1,3.088,0
STU00126,94.4,93.0,90.0,98.8,96.0,96.0,95.4,1,15,15,0,0.0,0.4,0.0,0.0,1.0,0.8880079367891536,1.184904458598726,0.0,0.4,1,3.94,0
STU00127,86.1,75.2,73.9,73.1,72.3,75.4,73.9,5,63,63,0,0.0,0.62,0.0,3.1000000000000085,1.0,0.9555652788413784,1.275265486725664,2.211818181818174,0.62,1,1.914,2
STU00128,70.2,49.7,39.5,57.9,50.8,53.3,51.3,5,75,6,23,0.016190861620062086,0.55,0.92,2.5,0.08,0.7739272486811184,1.575354330708661,0.403333333333336,0.55,1,0.08,2
STU00129,78.5,95.9,72.0,87.3,94.9,88.3,89.6,2,30,30,0,0.0,0.55,0.0,-6.6000000000000085,1.0,0.6811095625279566,2.667480916030534,0.0,0.55,1,3.48,0
STU00130,83.5,83.0,78.2,86.3,94.8,90.7,88.9,2,30,30,0,0.0,0.8,0.0,-4.099999999999994,1.0,0.7841940171769508,1.1256818181818182,0.0,0.8,2,3.39,0
