student_id,programme,school,semester,credits_registered,credits_passed,failed_courses,failed_ratio,cumulative_gpa,gpa_band,risk_level,avg_attendance,avg_assignments,avg_quizzes,avg_labs,avg_midterm,avg_final,avg_overall,study_hours,base_exam,anxiety,attendance_base
STU00018,CSAI,CS&AI,6,90,72,6,0.2,1.03,At Risk (<2.0),High Risk,77.4,86.6,48.6,79.1,58.7,58.2,64.8,13.5,68.7,0.56,76.4
STU00019,CHEM,SCI,2,21,21,0,0.0,3.443,Good (3.0-3.5),Low Risk,88.4,96.8,88.6,90.9,86.9,86.4,89.0,22.3,92.2,0.274,85.9
STU00020,EEE,ENGR,2,30,30,0,0.0,3.71,High (>=3.5),Low Risk,96.0,94.4,90.5,91.7,93.3,89.9,91.9,15.3,100.0,0.089,98.7
STU00021,MATH,SCI,2,30,30,0,0.0,2.85,Average (2.5-3.0),Medium Risk,65.8,70.4,70.4,82.7,90.7,88.8,83.8,11.9,95.2,0.362,67.4
STU00022,DSAI,CS&AI,5,63,63,0,0.0,2.286,Below Average (2.0-2.5),Medium Risk,66.6,78.1,62.1,80.9,79.2,79.8,77.8,5.0,88.7,0.48,69.8
STU00023,FIN,BUS,2,27,27,0,0.0,3.222,Good (3.0-3.5),Low Risk,73.2,95.9,62.5,97.1,88.4,84.3,87.0,19.3,89.6,0.0,76.6
STU00024,BUS,BUS,3,33,33,0,0.0,2.573,Average (2.5-3.0),Low Risk,94.6,66.6,82.0,73.7,84.7,88.4,81.2,11.0,93.8,0.441,100.0
STU00025,PHYS,SCI,2,30,6,8,0.8,0.2,At Risk (<2.0),High Risk,70.8,60.0,41.9,63.2,59.2,57.4,57.6,19.6,61.7,0.254,70.1
STU00026,CSAI,CS&AI,6,90,90,0,0.0,1.74,At Risk (<2.0),High Risk,60.2,60.0,50.9,67.6,81.9,80.6,73.0,7.9,92.5,0.542,60.0
STU00027,SWE,CS&AI,4,48,48,0,0.0,2.925,Average (2.5-3.0),Low Risk,84.5,79.2,82.6,82.3,83.8,88.5,84.2,18.6,88.8,0.29,85.6
STU00028,CSAI,CS&AI,4,60,60,0,0.0,3.2,Good (3.0-3.5),Low Risk,75.0,82.5,72.9,95.3,88.4,88.8,87.1,20.1,100.0,0.397,75.2
STU00029,CSAI,CS&AI,4,60,51,3,0.15,1.045,At Risk (<2.0),High Risk,81.6,71.1,55.2,63.9,67.5,64.8,65.4,36.7,70.5,0.053,81.2
STU00030,CIV,ENGR,1,15,9,2,0.4,0.66,At Risk (<2.0),High Risk,90.6,87.2,61.8,75.6,51.8,56.8,63.2,28.5,59.3,0.507,92.2
STU00031,MATH,SCI,1,15,15,0,0.0,1.92,At Risk (<2.0),High Risk,81.6,94.9,59.8,87.4,71.0,65.7,74.4,25.4,73.2,0.179,88.5
STU00032,FIN,BUS,2,27,24,1,0.1111,1.256,At Risk (<2.0),High Risk,76.1,52.8,64.7,67.5,75.5,70.5,68.3,13.5,83.0,0.482,76.8
STU00033,DSAI,CS&AI,5,63,0,21,1.0,0.0,At Risk (<2.0),High Risk,76.4,49.1,37.6,54.9,52.9,48.9,49.9,12.5,56.9,0.369,79.4
STU00034,DSAI,CS&AI,5,63,63,0,0.0,1.333,At Risk (<2.0),High Risk,82.9,59.8,62.4,68.2,71.8,71.0,68.3,18.5,77.0,0.197,80.3
STU00035,SWE,CS&AI,4,48,48,0,0.0,1.5,At Risk (<2.0),High Risk,71.0,67.8,56.6,79.1,73.0,67.1,69.7,6.2,76.9,0.289,72.9
STU00036,CSAI,CS&AI,8,117,117,0,0.0,3.418,Good (3.0-3.5),Low Risk,93.0,95.4,90.9,97.3,86.2,85.2,89.4,26.1,95.3,0.557,92.1
STU00037,CSAI,CS&AI,1,15,15,0,0.0,3.34,Good (3.0-3.5),Low Risk,95.2,82.9,96.0,94.1,90.2,83.9,88.4,28.1,100.0,0.438,97.6
STU00038,SWE,CS&AI,4,48,48,0,0.0,2.144,Below Average (2.0-2.5),Medium Risk,58.8,54.0,51.0,68.3,91.1,84.5,76.2,27.0,91.4,0.056,60.0
STU00039,DSAI,CS&AI,5,63,51,4,0.1905,0.99,At Risk (<2.0),High Risk,59.8,55.4,46.2,64.7,69.8,72.0,65.2,12.6,78.0,0.373,60.0
STU00040,CIV,ENGR,2,24,21,1,0.125,0.95,At Risk (<2.0),High Risk,74.6,96.2,43.1,85.4,57.2,49.2,63.5,17.6,56.5,0.559,72.7
STU00041,SWE,CS&AI,3,45,45,0,0.0,3.94,High (>=3.5),Low Risk,98.6,96.9,93.6,97.2,94.6,93.2,94.8,22.0,100.0,0.477,100.0
STU00042,CHEM,SCI,2,21,21,0,0.0,2.271,Below Average (2.0-2.5),Medium Risk,83.1,73.0,67.1,78.4,81.1,82.1,78.4,16.4,88.7,0.347,85.2
STU00043,MATH,SCI,3,33,33,0,0.0,3.009,Good (3.0-3.5),Low Risk,87.1,69.8,78.8,78.9,90.9,91.3,84.9,23.0,100.0,0.293,92.7
STU00044,DSAI,CS&AI,5,63,0,21,1.0,0.0,At Risk (<2.0),High Risk,75.4,48.3,42.6,46.2,44.5,39.4,43.6,20.1,54.2,0.28,74.9
STU00045,CHEM,SCI,2,21,21,0,0.0,1.829,At Risk (<2.0),High Risk,87.4,66.1,66.6,75.8,75.4,74.0,72.7,28.8,79.0,0.261,90.7
STU00046,PHYS,SCI,2,30,12,6,0.6,0.4,At Risk (<2.0),High Risk,88.5,67.8,54.1,65.8,57.1,54.0,58.8,24.3,63.1,0.406,88.2
STU00047,DSAI,CS&AI,4,60,60,0,0.0,3.655,High (>=3.5),Low Risk,90.2,90.8,90.0,94.8,91.5,91.9,91.9,22.4,97.1,0.303,89.5
STU00048,DSAI,CS&AI,3,45,42,1,0.0667,1.153,At Risk (<2.0),High Risk,65.3,80.9,40.9,74.6,66.7,62.9,66.3,25.1,69.1,0.119,65.1
STU00049,CIV,ENGR,2,24,21,1,0.125,1.037,At Risk (<2.0),High Risk,81.6,57.4,56.7,65.4,68.0,65.7,64.2,16.7,72.7,0.064,83.4
STU00050,CSAI,CS&AI,8,117,117,0,0.0,1.915,At Risk (<2.0),High Risk,67.5,73.6,59.1,82.9,73.3,75.4,74.0,17.9,81.7,0.158,67.1
STU00051,CSAI,CS&AI,5,75,3,24,0.96,0.04,At Risk (<2.0),High Risk,79.1,77.5,32.4,63.9,39.9,42.7,49.2,19.3,49.0,0.381,80.5
STU00052,CSAI,CS&AI,4,60,0,20,1.0,0.0,At Risk (<2.0),High Risk,72.2,66.6,38.6,60.6,50.6,47.8,52.5,23.3,56.7,0.155,71.2
STU00053,PHYS,SCI,2,30,9,7,0.7,0.3,At Risk (<2.0),High Risk,66.9,54.1,48.6,62.7,62.2,55.1,57.6,21.0,71.7,0.577,60.5
STU00054,CIV,ENGR,2,24,24,0,0.0,1.412,At Risk (<2.0),High Risk,87.3,77.5,57.1,71.1,68.6,69.3,69.4,24.4,74.3,0.357,87.6
STU00055,MATH,SCI,1,15,15,0,0.0,2.32,Below Average (2.0-2.5),Medium Risk,75.0,72.4,66.4,81.4,84.4,77.4,78.3,8.5,91.8,0.506,79.8
STU00056,PHYS,SCI,2,30,27,1,0.1,0.93,At Risk (<2.0),High Risk,68.4,73.6,43.5,68.4,62.8,62.1,63.1,18.6,68.2,0.382,67.2
STU00057,SWE,CS&AI,4,48,48,0,0.0,2.65,Average (2.5-3.0),Low Risk,89.4,77.1,79.5,85.1,81.9,81.6,81.3,20.4,88.0,0.449,89.3
STU00058,MECH,ENGR,3,33,33,0,0.0,3.482,Good (3.0-3.5),Low Risk,94.8,91.5,93.1,90.2,89.3,86.6,89.3,19.5,100.0,0.589,95.5
STU00059,CSAI,CS&AI,3,45,45,0,0.0,3.493,Good (3.0-3.5),Low Risk,92.6,85.4,88.2,97.6,93.2,87.0,90.3,22.2,100.0,0.545,91.9
STU00060,CSAI,CS&AI,3,45,45,0,0.0,3.607,High (>=3.5),Medium Risk,64.7,97.7,62.0,95.3,93.0,93.3,91.0,29.3,100.0,0.103,62.5
STU00061,CIV,ENGR,1,15,15,0,0.0,1.86,At Risk (<2.0),High Risk,63.5,78.0,55.8,78.6,76.2,71.5,73.4,18.1,85.2,0.3,79.1
STU00062,SWE,CS&AI,4,48,36,4,0.25,0.919,At Risk (<2.0),High Risk,68.2,48.6,50.8,63.3,70.7,70.0,64.1,14.4,75.2,0.218,66.5
STU00063,MECH,ENGR,3,33,33,0,0.0,2.627,Average (2.5-3.0),Medium Risk,59.2,54.3,56.8,78.6,90.7,93.1,80.8,14.5,100.0,0.307,60.4
STU00064,MATH,SCI,2,30,21,3,0.3,0.77,At Risk (<2.0),High Risk,71.8,78.3,47.6,79.6,60.7,52.0,62.3,27.2,63.5,0.351,70.2
STU00065,EEE,ENGR,1,15,12,1,0.2,1.0,At Risk (<2.0),High Risk,82.2,71.3,58.0,68.5,68.7,58.6,65.0,14.7,75.3,0.558,84.3
STU00066,MECH,ENGR,2,30,30,0,0.0,3.49,Good (3.0-3.5),Low Risk,92.0,88.9,87.9,89.9,92.7,88.7,90.0,21.0,98.9,0.491,92.2
STU00067,MECH,ENGR,3,33,33,0,0.0,2.191,Below Average (2.0-2.5),Medium Risk,68.4,71.4,61.9,82.6,83.7,74.9,76.9,18.0,90.6,0.398,66.9
STU00068,DSAI,CS&AI,4,60,51,3,0.15,1.045,At Risk (<2.0),High Risk,74.1,54.0,63.1,60.1,70.1,70.3,65.6,19.0,75.1,0.36,77.5
STU00069,CSAI,CS&AI,7,105,105,0,0.0,1.474,At Risk (<2.0),High Risk,71.5,83.5,56.7,81.1,65.4,64.7,69.4,25.0,73.4,0.241,68.1
STU00070,SWE,CS&AI,4,48,48,0,0.0,1.7,At Risk (<2.0),High Risk,67.6,86.0,57.7,79.4,71.0,69.3,72.7,13.9,74.9,0.451,64.4
STU00071,CSAI,CS&AI,7,105,105,0,0.0,2.143,Below Average (2.0-2.5),Medium Risk,88.8,72.8,70.7,81.3,79.1,75.6,76.6,17.1,82.1,0.309,88.3
STU00072,SWE,CS&AI,4,48,48,0,0.0,2.044,Below Average (2.0-2.5),Medium Risk,83.0,71.5,75.0,80.4,71.4,78.0,75.1,25.8,80.0,0.112,83.7
STU00073,CHEM,SCI,2,21,21,0,0.0,2.186,Below Average (2.0-2.5),Medium Risk,71.9,64.1,58.5,66.0,87.7,85.1,77.2,21.4,89.9,0.286,76.0
STU00074,DSAI,CS&AI,5,63,63,0,0.0,2.852,Average (2.5-3.0),Low Risk,77.3,63.8,77.5,78.5,91.1,90.9,83.7,18.7,98.5,0.217,80.6
STU00075,CSAI,CS&AI,6,90,90,0,0.0,2.287,Below Average (2.0-2.5),Medium Risk,95.8,82.9,78.6,81.2,73.4,77.2,77.7,21.7,80.9,0.276,98.8
STU00076,DSAI,CS&AI,4,60,60,0,0.0,2.585,Average (2.5-3.0),Low Risk,76.2,58.3,71.8,73.6,90.4,89.8,81.0,9.4,100.0,0.504,75.3
STU00077,DSAI,CS&AI,1,15,15,0,0.0,2.62,Average (2.5-3.0),Low Risk,93.0,80.8,89.1,74.3,82.4,79.1,80.6,26.8,85.2,0.045,88.4
STU00078,CIV,ENGR,2,24,24,0,0.0,2.925,Average (2.5-3.0),Low Risk,80.1,66.2,80.7,73.9,92.0,92.1,84.3,14.0,100.0,0.448,78.7
STU00079,MECH,ENGR,3,33,18,5,0.4545,0.691,At Risk (<2.0),High Risk,72.2,44.5,55.4,64.5,73.6,66.1,63.8,20.4,74.6,0.425,67.6
STU00080,PHYS,SCI,2,30,30,0,0.0,2.57,Average (2.5-3.0),Low Risk,75.3,78.3,65.6,78.0,84.5,84.3,80.7,27.0,88.3,0.0,77.5
STU00081,CIV,ENGR,2,24,24,0,0.0,3.038,Good (3.0-3.5),Low Risk,92.5,84.0,85.4,85.3,86.6,86.0,85.7,21.3,93.6,0.303,91.7
STU00082,SWE,CS&AI,1,15,15,0,0.0,2.94,Average (2.5-3.0),Low Risk,86.2,78.1,73.9,79.0,87.1,89.7,84.0,18.9,89.1,0.502,91.8
STU00083,PHYS,SCI,2,30,30,0,0.0,1.57,At Risk (<2.0),High Risk,89.3,61.0,71.4,67.3,73.7,73.2,70.5,18.0,78.5,0.481,88.1
STU00084,CSAI,CS&AI,6,90,90,0,0.0,3.283,Good (3.0-3.5),Low Risk,95.9,83.4,93.3,88.3,87.9,88.7,88.1,15.4,96.2,0.469,96.7
STU00085,CSAI,CS&AI,1,15,12,1,0.2,1.06,At Risk (<2.0),High Risk,75.4,78.0,57.6,80.1,62.3,60.5,66.3,20.2,68.1,0.298,73.5
STU00086,CSAI,CS&AI,5,75,75,0,0.0,3.192,Good (3.0-3.5),Low Risk,87.7,74.2,83.6,90.7,90.8,88.5,86.9,9.6,96.7,0.382,87.3
STU00087,MATH,SCI,3,33,27,2,0.1818,1.055,At Risk (<2.0),High Risk,95.1,67.7,67.2,66.0,62.2,65.8,65.2,22.0,71.2,0.164,96.0
STU00088,SWE,CS&AI,4,48,6,14,0.875,0.125,At Risk (<2.0),High Risk,61.2,50.2,40.9,52.2,60.4,56.8,54.6,6.3,66.8,0.532,61.4
STU00089,CSAI,CS&AI,5,75,75,0,0.0,3.856,High (>=3.5),Low Risk,96.1,96.9,93.2,95.7,92.7,93.6,94.1,28.6,100.0,0.125,94.9
STU00090,MECH,ENGR,3,33,27,2,0.1818,1.027,At Risk (<2.0),High Risk,76.8,66.3,54.1,67.0,65.8,65.1,64.7,18.2,72.7,0.317,79.0
STU00091,CSAI,CS&AI,5,75,66,3,0.12,1.236,At Risk (<2.0),High Risk,72.2,54.6,64.7,62.5,74.4,70.6,67.5,15.4,80.7,0.332,69.9
STU00092,CIV,ENGR,2,24,24,0,0.0,3.562,High (>=3.5),Low Risk,78.8,92.8,68.9,90.4,95.7,90.4,90.2,16.0,98.3,0.414,77.2
STU00093,SWE,CS&AI,4,48,21,9,0.5625,0.438,At Risk (<2.0),High Risk,71.2,49.9,47.2,66.6,61.4,59.0,58.3,23.1,64.8,0.381,73.8
STU00094,DSAI,CS&AI,5,63,63,0,0.0,3.238,Good (3.0-3.5),Low Risk,87.5,71.8,81.9,86.8,94.2,91.9,87.8,28.0,100.0,0.165,90.3
STU00095,DSAI,CS&AI,5,63,63,0,0.0,1.976,At Risk (<2.0),High Risk,84.3,85.7,61.4,85.0,70.7,72.3,74.6,21.6,78.2,0.455,86.3
STU00096,EEE,ENGR,2,30,15,5,0.5,0.5,At Risk (<2.0),High Risk,92.8,72.7,59.9,69.9,55.0,54.9,60.4,15.3,63.5,0.532,89.4
STU00097,DSAI,CS&AI,5,63,63,0,0.0,2.395,Below Average (2.0-2.5),Medium Risk,73.6,91.5,56.6,84.8,79.0,77.8,79.1,12.0,85.3,0.413,72.0
STU00098,CSAI,CS&AI,8,117,117,0,0.0,3.6,High (>=3.5),Low Risk,87.1,86.8,84.3,93.3,93.0,93.1,91.3,22.1,100.0,0.186,87.6
STU00099,CSAI,CS&AI,2,30,30,0,0.0,3.07,Good (3.0-3.5),Medium Risk,60.0,83.9,58.1,93.1,91.4,87.5,86.0,19.1,94.3,0.301,60.0
STU00100,FIN,BUS,2,27,27,0,0.0,3.422,Good (3.0-3.5),Low Risk,90.8,73.4,91.1,84.6,94.8,92.9,89.1,19.1,100.0,0.588,85.4
STU00101,BUS,BUS,3,33,33,0,0.0,3.118,Good (3.0-3.5),Low Risk,87.5,87.2,78.7,90.7,86.0,85.4,86.0,31.9,84.4,0.088,86.5
STU00102,CIV,ENGR,2,24,24,0,0.0,1.625,At Risk (<2.0),High Risk,73.7,59.4,54.1,84.2,75.8,72.4,71.4,14.5,79.4,0.246,78.4
STU00103,DSAI,CS&AI,5,63,63,0,0.0,3.005,Good (3.0-3.5),Low Risk,88.8,93.5,81.2,89.4,82.4,82.7,85.1,19.4,88.0,0.549,90.1
STU00104,FIN,BUS,2,27,9,6,0.6667,0.367,At Risk (<2.0),High Risk,67.4,85.7,45.7,77.1,48.6,50.8,58.8,25.3,56.5,0.278,67.2
STU00105,PHYS,SCI,1,15,15,0,0.0,2.06,Below Average (2.0-2.5),Medium Risk,70.5,42.8,61.3,74.7,85.1,88.3,75.8,25.7,93.6,0.298,69.4
STU00106,MATH,SCI,3,33,33,0,0.0,2.555,Average (2.5-3.0),Low Risk,95.5,75.0,83.5,80.2,80.5,81.3,80.2,12.1,87.8,0.502,95.0
STU00107,SWE,CS&AI,4,48,48,0,0.0,2.194,Below Average (2.0-2.5),Medium Risk,75.6,75.3,66.2,77.4,77.1,80.0,76.6,19.1,85.7,0.503,74.5
STU00108,DSAI,CS&AI,4,60,60,0,0.0,3.47,Good (3.0-3.5),Low Risk,88.5,77.6,84.0,92.7,93.1,92.8,89.7,20.2,100.0,0.498,85.9
STU00109,CSAI,CS&AI,7,105,105,0,0.0,3.34,Good (3.0-3.5),Low Risk,92.0,84.8,80.1,92.0,91.6,88.8,88.7,13.8,97.6,0.328,92.9
STU00110,BUS,BUS,3,33,30,1,0.0909,1.0,At Risk (<2.0),High Risk,54.9,54.3,48.8,60.7,69.9,71.2,64.5,11.7,77.4,0.42,60.0
STU00111,SWE,CS&AI,4,48,48,0,0.0,3.587,High (>=3.5),Low Risk,80.6,96.3,79.7,94.5,91.3,91.7,91.5,25.3,100.0,0.384,79.7
STU00112,CSAI,CS&AI,8,117,117,0,0.0,2.938,Average (2.5-3.0),Low Risk,81.4,73.0,79.7,85.5,88.7,87.2,84.5,27.4,94.1,0.0,82.1
STU00113,DSAI,CS&AI,4,60,60,0,0.0,2.89,Average (2.5-3.0),Low Risk,83.1,68.5,77.8,79.8,90.5,88.8,83.8,30.0,97.7,0.349,82.1
STU00114,MECH,ENGR,3,33,33,0,0.0,1.782,At Risk (<2.0),High Risk,71.2,64.9,60.1,69.8,80.2,76.1,73.1,21.2,87.3,0.242,68.8
STU00115,CSAI,CS&AI,1,15,3,4,0.8,0.2,At Risk (<2.0),High Risk,62.5,71.5,42.0,69.6,50.8,51.5,56.1,17.4,58.1,0.409,70.4
STU00116,CHEM,SCI,2,21,21,0,0.0,2.771,Average (2.5-3.0),Low Risk,74.5,83.8,70.3,80.6,86.5,83.7,82.7,18.8,93.1,0.364,78.6
STU00117,MATH,SCI,3,33,33,0,0.0,1.5,At Risk (<2.0),High Risk,58.1,80.9,41.3,78.6,71.4,68.5,70.0,17.8,73.6,0.215,61.7
STU00118,MATH,SCI,1,15,15,0,0.0,3.12,Good (3.0-3.5),Low Risk,92.5,96.0,71.9,98.5,87.2,81.1,86.9,31.7,94.3,0.334,94.7
STU00119,SWE,CS&AI,4,48,42,2,0.125,0.956,At Risk (<2.0),High Risk,72.7,57.3,51.2,60.3,71.6,65.2,63.8,14.0,70.5,0.27,72.0
STU00120,EEE,ENGR,2,30,30,0,0.0,3.73,High (>=3.5),Low Risk,90.4,90.3,87.7,91.9,93.6,93.5,92.2,16.0,100.0,0.144,87.3
STU00121,EEE,ENGR,2,30,30,0,0.0,3.39,Good (3.0-3.5),Low Risk,85.1,78.0,76.3,91.0,93.5,92.1,88.7,21.8,100.0,0.271,84.8
STU00122,EEE,ENGR,2,30,30,0,0.0,2.33,Below Average (2.0-2.5),Medium Risk,73.8,68.3,70.9,85.0,84.9,76.2,78.4,14.4,89.6,0.597,70.2
STU00123,CSAI,CS&AI,5,75,75,0,0.0,2.456,Below Average (2.0-2.5),Medium Risk,78.3,79.0,70.6,92.6,79.1,77.9,79.9,20.6,86.6,0.267,76.6
STU00124,SWE,CS&AI,4,48,48,0,0.0,1.975,At Risk (<2.0),High Risk,64.3,63.6,54.8,75.0,82.2,78.9,74.6,11.3,88.1,0.705,62.8
STU00125,CSAI,CS&AI,5,75,75,0,0.0,3.088,Good (3.0-3.5),Low Risk,75.3,90.0,72.5,85.9,88.2,85.9,85.9,20.8,93.6,0.33,74.0
STU00126,SWE,CS&AI,1,15,15,0,0.0,3.94,High (>=3.5),Low Risk,94.4,93.0,90.0,98.8,96.0,96.0,95.4,32.5,100.0,0.143,100.0
STU00127,DSAI,CS&AI,5,63,63,0,0.0,1.914,At Risk (<2.0),High Risk,86.1,75.2,73.9,73.1,72.3,75.4,73.9,23.7,79.4,0.346,86.8
STU00128,CSAI,CS&AI,5,75,6,23,0.92,0.08,At Risk (<2.0),High Risk,70.2,49.7,39.5,57.9,50.8,53.3,51.3,13.8,58.7,0.407,67.6
STU00129,CSAI,CS&AI,2,30,30,0,0.0,3.48,Good (3.0-3.5),Low Risk,78.5,95.9,72.0,87.3,94.9,88.3,89.6,14.2,96.2,0.485,75.5
STU00130,EEE,ENGR,2,30,30,0,0.0,3.39,Good (3.0-3.5),Low Risk,83.5,83.0,78.2,86.3,94.8,90.7,88.9,31.9,100.0,0.129,80.4
STU00131,CSAI,CS&AI,6,90,90,0,0.0,1.887,At Risk (<2.0),High Risk,80.3,52.0,69.4,68.2,80.8,81.5,73.7,21.1,83.8,0.11,76.8
STU00132,BUS,BUS,3,33,33,0,0.0,2.964,Average (2.5-3.0),Low Risk,74.3,66.4,71.2,78.4,92.8,93.0,84.6,26.2,100.0,0.473,70.3
STU00133,EEE,ENGR,2,30,30,0,0.0,3.75,High (>=3.5),Low Risk,99.0,92.9,94.8,96.9,89.9,93.3,93.0,21.7,99.7,0.236,100.0
STU00134,DSAI,CS&AI,5,63,63,0,0.0,3.786,High (>=3.5),Low Risk,90.0,97.1,84.7,98.0,93.0,93.0,93.5,26.4,100.0,0.107,88.7
STU00135,EEE,ENGR,2,30,3,9,0.9,0.1,At Risk (<2.0),High Risk,82.2,65.6,47.2,60.4,51.8,49.4,54.0,15.7,58.6,0.588,81.4
STU00136,CSAI,CS&AI,8,117,3,37,0.9737,0.026,At Risk (<2.0),High Risk,69.0,49.7,39.3,45.2,42.7,40.4,43.1,12.2,51.7,0.452,67.7
STU00137,FIN,BUS,2,27,0,9,1.0,0.0,At Risk (<2.0),High Risk,70.6,59.4,38.4,55.7,56.4,49.0,52.7,22.5,55.6,0.268,69.7
STU00138,SWE,CS&AI,1,15,15,0,0.0,2.06,Below Average (2.0-2.5),Medium Risk,83.9,74.5,73.7,73.4,75.7,78.2,75.8,15.9,86.1,0.408,87.8
STU00139,PHYS,SCI,1,15,0,5,1.0,0.0,At Risk (<2.0),High Risk,77.4,73.2,31.7,65.9,51.7,44.1,52.8,19.9,55.5,0.362,79.5
STU00140,CSAI,CS&AI,4,60,60,0,0.0,3.44,Good (3.0-3.5),Low Risk,92.9,78.9,92.6,92.4,93.6,89.0,89.8,15.9,100.0,0.469,94.5
STU00141,SWE,CS&AI,4,48,48,0,0.0,2.925,Average (2.5-3.0),Low Risk,73.9,85.3,68.4,85.2,88.8,84.4,84.3,31.7,92.3,0.275,74.9
STU00142,SWE,CS&AI,4,48,48,0,0.0,3.212,Good (3.0-3.5),Low Risk,86.6,93.4,78.6,90.6,87.6,85.7,87.4,27.0,89.2,0.147,88.6
STU00143,BUS,BUS,3,33,27,2,0.1818,1.118,At Risk (<2.0),High Risk,77.4,79.1,54.3,79.9,63.4,62.8,67.1,19.3,69.5,0.307,76.6
STU00144,MECH,ENGR,3,33,33,0,0.0,2.064,Below Average (2.0-2.5),Medium Risk,95.8,70.8,82.3,66.6,75.6,80.3,75.6,16.0,85.0,0.398,93.0
STU00145,SWE,CS&AI,4,48,48,0,0.0,1.881,At Risk (<2.0),High Risk,71.3,58.2,55.7,69.2,81.1,79.8,72.9,17.8,84.8,0.382,72.4
STU00146,DSAI,CS&AI,5,63,39,8,0.381,0.648,At Risk (<2.0),High Risk,81.0,79.1,48.0,74.1,53.6,54.2,60.1,20.9,61.8,0.192,80.3
STU00147,DSAI,CS&AI,3,45,42,1,0.0667,1.58,At Risk (<2.0),High Risk,81.2,48.3,59.8,62.4,80.6,81.3,71.2,22.9,83.1,0.193,77.6
STU00148,MECH,ENGR,2,30,30,0,0.0,1.71,At Risk (<2.0),High Risk,72.7,86.4,55.7,91.4,64.5,65.2,71.2,15.2,73.5,0.376,71.9
STU00149,SWE,CS&AI,4,48,48,0,0.0,1.881,At Risk (<2.0),High Risk,71.0,68.8,60.1,81.4,77.5,72.6,73.6,14.6,84.3,0.559,72.0
STU00150,CSAI,CS&AI,7,105,105,0,0.0,3.034,Good (3.0-3.5),Medium Risk,61.8,79.5,60.8,83.0,92.4,90.8,85.5,25.8,100.0,0.196,63.5
STU00151,CHEM,SCI,2,21,21,0,0.0,3.671,High (>=3.5),Low Risk,95.4,79.5,90.8,89.1,94.7,97.0,91.9,32.5,100.0,0.119,98.0
